2025-10-29 16:15:49.883 | INFO     | Utils.DataQuality_Functions:resolve_existing_file:79 - Archivo Consulta Diaria Ventas - Snackeros.xlsx encontrado.
2025-10-29 16:15:49.891 | INFO     | Utils.DataQuality_Functions:resolve_existing_file:79 - Archivo Drivers.xlsx encontrado.
2025-10-29 16:15:49.895 | INFO     | Utils.general_functions:Lectura_insumos_excel:77 - Inicio lectura Consulta Diaria Ventas - Snackeros.xlsx Hoja: Consolidado
2025-10-29 16:16:03.285 | SUCCESS  | Utils.general_functions:Lectura_insumos_excel:88 - Lectura de Consulta Diaria Ventas - Snackeros.xlsx,  hoja: Consolidado realizada con éxito
2025-10-29 16:16:03.285 | INFO     | Utils.general_functions:wrapper:15 - Tiempo de ejecución de Lectura_insumos_excel: 13.390276908874512 segundos
2025-10-29 16:16:03.286 | INFO     | Utils.general_functions:Lectura_insumos_excel:77 - Inicio lectura Drivers.xlsx Hoja: DRIVERS
2025-10-29 16:16:12.559 | SUCCESS  | Utils.general_functions:Lectura_insumos_excel:88 - Lectura de Drivers.xlsx,  hoja: DRIVERS realizada con éxito
2025-10-29 16:16:12.560 | INFO     | Utils.general_functions:wrapper:15 - Tiempo de ejecución de Lectura_insumos_excel: 9.274151802062988 segundos
2025-10-29 16:16:12.560 | SUCCESS  | Utils.DataQuality_Functions:verificar_columnas:105 - ✅ Consolidado: todas las columnas esperadas están presentes.
2025-10-29 16:16:12.561 | SUCCESS  | Utils.DataQuality_Functions:verificar_columnas:105 - ✅ DRIVERS: todas las columnas esperadas están presentes.
2025-10-29 16:16:12.561 | INFO     | Utils.general_functions:Lectura_insumos_excel:77 - Inicio lectura Consulta Diaria Ventas - Snackeros.xlsx Hoja: Consolidado
